slug,ine,ine_idescat,municipality,comarca
llardecans,25125,251253,Llardecans,Segrià
llavorsi,25126,251266,Llavorsí,Pallars Sobirà
lleida,25120,251207,Lleida,Segrià
llers,17093,170932,Llers,Alt Empordà
lles-cerdanya,25127,251272,Lles de Cerdanya,Cerdanya
llimiana,25128,251288,Llimiana,Pallars Jussà
llinars-valles,08106,081069,Llinars del Vallès,Vallès Oriental
llivia,17094,170947,Llívia,Cerdanya
lloar,43072,430727,"Lloar, el",Priorat
llobera,25129,251291,Llobera,Solsonès
llorac,43073,430733,Llorac,Conca de Barberà
llorenc-penedes,43074,430748,Llorenç del Penedès,Baix Penedès
lloret-mar,17095,170950,Lloret de Mar,Selva
llosses,17096,170963,"Llosses, les",Ripollès
macanet-cabrenys,17102,171024,Maçanet de Cabrenys,Alt Empordà
macanet-selva,17103,171030,Maçanet de la Selva,Selva
madremanya,17097,170979,Madremanya,Gironès
maia-montcal,17098,170985,Maià de Montcal,Garrotxa
maials,25133,251333,Maials,Segrià
malda,25130,251305,Maldà,Urgell
malla,08111,081115,Malla,Osona
marca,43076,430764,Marçà,Priorat
margalef,43075,430751,Margalef,Priorat
martorell,08114,081141,Martorell,Baix Llobregat
mas-barberans,43077,430770,Mas de Barberans,Montsià
masarac,17100,171002,Masarac i Vilarnadal,Alt Empordà
masdenverge,43078,430786,Masdenverge,Montsià
masllorenc,43079,430799,Masllorenç,Baix Penedès
masnou,08118,081189,"Masnou, el",Maresme
maso,43080,430803,"Masó, la",Alt Camp
maspujols,43081,430810,Maspujols,Baix Camp
masroig,43082,430825,"Masroig, el",Priorat
massalcoreig,25131,251312,Massalcoreig,Segrià
massanes,17101,171019,Massanes,Selva
massoteres,25132,251327,Massoteres,Segarra
mediona,08122,081228,Mediona,Alt Penedès
menarguens,25134,251348,Menàrguens,Noguera
meranges,17099,170998,Meranges,Cerdanya
mieres,17105,171058,Mieres,Garrotxa
mila,43083,430831,"Milà, el",Alt Camp
miralcamp,25135,251351,Miralcamp,Pla d'Urgell
miravet,43084,430846,Miravet,Ribera d'Ebre
molar,43085,430859,"Molar, el",Priorat
molins-rei,08123,081234,Molins de Rei,Baix Llobregat
mollerussa,25137,251370,Mollerussa,Pla d'Urgell
mollet-peralada,17106,171061,Mollet de Peralada,Alt Empordà
mollo,17107,171077,Molló,Ripollès
molsosa,25136,251364,"Molsosa, la",Solsonès
mont-ral,43091,430918,Mont-ral,Alt Camp
mont-ras,17110,171100,Mont-ras,Baix Empordà
mont-roig-camp,43092,430923,Mont-roig del Camp,Baix Camp
montagut-i-oix,17109,171096,Montagut i Oix,Garrotxa
montblanc,43086,430862,Montblanc,Conca de Barberà
montbrio-camp,43088,430884,Montbrió del Camp,Baix Camp
montcada-i-reixac,08125,081252,Montcada i Reixac,Vallès Occidental
montella-i-martinet,25139,251399,Montellà i Martinet,Cerdanya
montferrer-i-castellbo,25140,251403,Montferrer i Castellbò,Alt Urgell
montferri,43089,430897,Montferri,Alt Camp
montgai,25138,251386,Montgai,Noguera
montmell,43090,430901,"Montmell, el",Baix Penedès
montoliu-lleida,25142,251425,Montoliu de Lleida,Segrià
montoliu-segarra,25141,251410,Montoliu de Segarra,Segarra
montornes-segarra,25143,251431,Montornès de Segarra,Segarra
montornes-valles,08136,081363,Montornès del Vallès,Vallès Oriental
mora-ebre,43093,430939,Móra d'Ebre,Ribera d'Ebre
mora-nova,43094,430944,Móra la Nova,Ribera d'Ebre
morell,43095,430957,"Morell, el",Tarragonès
morera-montsant,43096,430960,"Morera de Montsant, la",Priorat
nalec,25145,251459,Nalec,Urgell
naut-aran,25025,250254,Naut Aran,Aran
navata,17111,171117,Navata,Alt Empordà
naves,25146,251462,Navès,Solsonès
nou-gaia,43097,430976,"Nou de Gaià, la",Tarragonès
nulles,43098,430982,Nulles,Alt Camp
oden,25148,251484,Odèn,Solsonès
ogassa,17112,171122,Ogassa,Ripollès
olesa-montserrat,08147,081477,Olesa de Montserrat,Baix Llobregat
oliana,25149,251497,Oliana,Alt Urgell
oliola,25150,251500,Oliola,Noguera
olius,25151,251517,Olius,Solsonès
olot,17114,171143,Olot,Garrotxa
oluges,25152,251522,"Oluges, les",Segarra
omellons,25153,251538,"Omellons, els",Garrigues
omells-na-gaia,25154,251543,"Omells de na Gaia, els",Urgell
ordis,17115,171156,Ordis,Alt Empordà
organya,25155,251556,Organyà,Alt Urgell
os-balaguer,25156,251569,Os de Balaguer,Noguera
osor,17116,171169,Osor,Selva
osso-sio,25157,251575,Ossó de Sió,Urgell
palafrugell,17117,171175,Palafrugell,Baix Empordà
palamos,17118,171181,Palamós,Baix Empordà
palau-anglesola,25158,251581,"Palau d'Anglesola, el",Pla d'Urgell
palau-santa-eulalia,17119,171194,Palau de Santa Eulàlia,Alt Empordà
palau-sator,17121,171215,Palau-sator,Baix Empordà
palau-saverdera,17120,171208,Palau-saverdera,Alt Empordà
pallaresos,43100,431009,"Pallaresos, els",Tarragonès
palleja,08157,081574,Pallejà,Baix Llobregat
palma-ebre,43099,430995,"Palma d'Ebre, la",Ribera d'Ebre
palol-revardit,17123,171236,Palol de Revardit,Pla de l'Estany
pals,17124,171241,Pals,Baix Empordà
pardines,17125,171254,Pardines,Ripollès
parlava,17126,171267,Parlavà,Baix Empordà
passanant-i-belltall,43101,431016,Passanant i Belltall,Conca de Barberà
pau,17128,171289,Pau,Alt Empordà
pauls,43102,431021,Paüls,Baix Ebre
pedret-i-marza,17129,171292,Pedret i Marzà,Alt Empordà
penelles,25164,251641,Penelles,Noguera
pera,17130,171306,"Pera, la",Baix Empordà
perafort,43103,431037,Perafort,Tarragonès
peralada,17132,171328,Peralada,Alt Empordà
peramola,25165,251654,Peramola,Alt Urgell
perello,43104,431042,"Perelló, el",Baix Ebre
piles,43105,431055,"Piles, les",Conca de Barberà
pineda-mar,08163,081635,Pineda de Mar,Maresme
pinell-brai,43106,431068,"Pinell de Brai, el",Terra Alta
pinell-solsones,25166,251667,Pinell de Solsonès,Solsonès
pinos,25167,251673,Pinós,Solsonès
pira,43107,431074,Pira,Conca de Barberà
pla-santa-maria,43108,431080,"Pla de Santa Maria, el",Alt Camp
planes-hostoles,17133,171334,"Planes d'Hostoles, les",Garrotxa
planoles,17134,171349,Planoles,Ripollès
plans-sio,25911,259118,"Plans de Sió, els",Segarra
poal,25168,251689,"Poal, el",Pla d'Urgell
pobla-cervoles,25169,251692,"Pobla de Cérvoles, la",Garrigues
pobla-mafumet,43109,431093,"Pobla de Mafumet, la",Tarragonès
pobla-massaluca,43110,431107,"Pobla de Massaluca, la",Terra Alta
pobla-montornes,43111,431114,"Pobla de Montornès, la",Tarragonès
pobla-segur,25171,251713,"Pobla de Segur, la",Pallars Jussà
poboleda,43112,431129,Poboleda,Priorat
pont-armentera,43113,431135,"Pont d'Armentera, el",Alt Camp
pont-bar,25030,250306,"Pont de Bar, el",Alt Urgell
pont-molins,17135,171352,Pont de Molins,Alt Empordà
pont-suert,25173,251734,"Pont de Suert, el",Alta Ribagorça
pontils,43141,431418,Pontils,Conca de Barberà
pontos,17136,171365,Pontós,Alt Empordà
ponts,25172,251728,Ponts,Noguera
porqueres,17137,171371,Porqueres,Pla de l'Estany
porrera,43114,431140,Porrera,Priorat
port-selva,17140,171404,"Port de la Selva, el",Alt Empordà
portbou,17138,171387,Portbou,Alt Empordà
portella,25174,251749,"Portella, la",Segrià
pradell-teixeta,43115,431153,Pradell de la Teixeta,Priorat
prades,43116,431166,Prades,Baix Camp
prat-comte,43117,431172,Prat de Comte,Terra Alta
prat-llobregat,08169,081691,"Prat de Llobregat, el",Baix Llobregat
pratdip,43118,431188,Pratdip,Baix Camp
prats-i-sansor,25175,251752,Prats i Sansor,Cerdanya
preixana,25176,251765,Preixana,Urgell
preixens,25177,251771,Preixens,Noguera
premia-mar,08172,081727,Premià de Mar,Maresme
preses,17139,171390,"Preses, les",Garrotxa
prullans,25179,251790,Prullans,Cerdanya
puigcerda,17141,171411,Puigcerdà,Cerdanya
puiggros,25180,251804,Puiggròs,Garrigues
puigpelat,43119,431191,Puigpelat,Alt Camp
puigverd-agramunt,25181,251811,Puigverd d'Agramunt,Urgell
puigverd-lleida,25182,251826,Puigverd de Lleida,Segrià
quart,17142,171426,Quart,Gironès
queralbs,17043,170433,Queralbs,Ripollès
querol,43120,431205,Querol,Alt Camp
rabos,17143,171432,Rabós,Alt Empordà
rasquera,43121,431212,Rasquera,Ribera d'Ebre
regencos,17144,171447,Regencós,Baix Empordà
renau,43122,431227,Renau,Tarragonès
rialp,25183,251832,Rialp,Pallars Sobirà
riba,43124,431248,"Riba, la",Alt Camp
riba-roja-ebre,43125,431251,Riba-roja d'Ebre,Ribera d'Ebre
ribera-ondara,25905,259059,Ribera d'Ondara,Segarra
ribera-urgellet,25185,251850,Ribera d'Urgellet,Alt Urgell
ribes-freser,17145,171450,Ribes de Freser,Ripollès
riells-i-viabrea,17146,171463,Riells i Viabrea,Selva
riera-gaia,43126,431264,"Riera de Gaià, la",Tarragonès
riner,25186,251863,Riner,Solsonès
ripoll,17147,171479,Ripoll,Ripollès
ripollet,08180,081803,Ripollet,Vallès Occidental
riu-cerdanya,25913,259139,Riu de Cerdanya,Cerdanya
riudarenes,17148,171485,Riudarenes,Selva
riudaura,17149,171498,Riudaura,Garrotxa
riudecanyes,43127,431270,Riudecanyes,Baix Camp
riudecols,43128,431286,Riudecols,Baix Camp
riudellots-selva,17150,171501,Riudellots de la Selva,Selva
riudoms,43129,431299,Riudoms,Baix Camp
riumors,17151,171518,Riumors,Alt Empordà
roca-valles,08181,081810,"Roca del Vallès, la",Vallès Oriental
rocafort-queralt,43130,431303,Rocafort de Queralt,Conca de Barberà
roda-bera,43131,431310,Roda de Berà,Tarragonès
rodonya,43132,431325,Rodonyà,Alt Camp
roquetes,43133,431331,Roquetes,Baix Ebre
roses,17152,171523,Roses,Alt Empordà
rossello,25189,251898,Rosselló,Segrià
rourell,43134,431346,"Rourell, el",Alt Camp
rubi,08184,081846,Rubí,Vallès Occidental
rupia,17153,171539,Rupià,Baix Empordà
salas-pallars,25190,251902,Salàs de Pallars,Pallars Jussà
sales-llierca,17154,171544,Sales de Llierca,Garrotxa
salomo,43135,431359,Salomó,Tarragonès
salou,43905,439057,Salou,Tarragonès
salt,17155,171557,Salt,Gironès
sanauja,25191,251919,Sanaüja,Segarra
sant-adria-besos,08194,081944,Sant Adrià de Besòs,Barcelonès
sant-andreu-barca,08196,081960,Sant Andreu de la Barca,Baix Llobregat
sant-andreu-salou,17157,171576,Sant Andreu Salou,Gironès
sant-aniol-finestres,17183,171833,Sant Aniol de Finestres,Garrotxa
sant-boi-llobregat,08200,082009,Sant Boi de Llobregat,Baix Llobregat
sant-carles-rapita,43136,431362,"Ràpita, la",Montsià
sant-climent-sescebes,17158,171582,Sant Climent Sescebes,Alt Empordà
sant-esteve-sarga,25196,251961,Sant Esteve de la Sarga,Pallars Jussà
sant-feliu-buixalleu,17159,171595,Sant Feliu de Buixalleu,Selva
sant-feliu-guixols,17160,171609,Sant Feliu de Guíxols,Baix Empordà
sant-feliu-llobregat,08211,082114,Sant Feliu de Llobregat,Baix Llobregat
sant-feliu-pallerols,17161,171616,Sant Feliu de Pallerols,Garrotxa
sant-ferriol,17162,171621,Sant Ferriol,Garrotxa
sant-gregori,17163,171637,Sant Gregori,Gironès
sant-guim-freixenet,25192,251924,Sant Guim de Freixenet,Segarra
sant-guim-plana,25197,251977,Sant Guim de la Plana,Segarra
sant-hilari-sacalm,17164,171642,Sant Hilari Sacalm,Selva
sant-jaume-domenys,43137,431378,Sant Jaume dels Domenys,Baix Penedès
sant-jaume-enveja,43902,439023,Sant Jaume d'Enveja,Montsià
sant-jaume-llierca,17165,171655,Sant Jaume de Llierca,Garrotxa
sant-joan-abadesses,17167,171674,Sant Joan de les Abadesses,Ripollès
sant-joan-despi,08217,082172,Sant Joan Despí,Baix Llobregat
sant-joan-fonts,17185,171851,Sant Joan les Fonts,Garrotxa
sant-joan-mollet,17168,171680,Sant Joan de Mollet,Gironès
sant-jordi-desvalls,17166,171668,Sant Jordi Desvalls,Gironès
sant-julia-llor-i-bonmati,17903,179032,Sant Julià del Llor i Bonmatí,Selva
sant-julia-ramis,17169,171693,Sant Julià de Ramis,Gironès
sant-just-desvern,08221,082212,Sant Just Desvern,Baix Llobregat
sant-llorenc-morunys,25193,251930,Sant Llorenç de Morunys,Solsonès
